Sample,Age,Age category,CpG 1 TET2,CpG 2 TET2,CpG 3 TET2,CpG 4 TET2,CpG GRIA2 1,CpG GRIA2 2,ASPA 1
BabyBechs_SHW,0,Age 0-3,29,21,26,31,2,2,61
Dd_Juv_Hamgreen,0,Age 0-3,30,21,24,32,1,2,59
A2402,1,Age 0-3,44,38,51,53,1,5,48
A2414-2014,1,Age 0-3,48,36,50,46,1,2,53
A8481-2014,1,Age 0-3,,,,,2,2,41
A8522-2015,1,Age 0-3,42,30,40,41,0,4,59
Y8471-2014,1,Age 0-3,47,43,47,49,3,2,58
A2406-2015,2,Age 0-3,61,47,69,53,1,2,24
A2423_2014,2,Age 0-3,50,42,53,53,2,2,53
A8468_2015,2,Age 0-3,53,41,60,52,1,2,42
A8469-2015,2,Age 0-3,60,46,58,51,2,3,56
A8482_2015,2,Age 0-3,53,41,54,53,0,1,57
A8489_2015,2,Age 0-3,49,39,47,46,4,4,58
A8497-2015,2,Age 0-3,57,42,58,49,2,6,61
A2424-2015,3,Age 0-3,61,46,63,54,,,
A2427_2015,3,Age 0-3,52,42,61,54,3,4,54
A2467_2014,3,Age 0-3,50,42,51,49,3,4,54
A2486-2014,3,Age 0-3,69,53,73,60,2,4,45
A2492_2014,3,Age 0-3,53,45,60,54,1,3,47
A2448-2015,4,Age 4-8,64,52,70,53,6,3,50
A2456,4,Age 4-8,69,59,72,65,1,4,50
A2465_2015,4,Age 4-8,61,49,68,58,1,2,43
A2480-2015,4,Age 4-8,59,50,70,54,2,3,51
Z6405-2014,4,Age 4-8,52,43,62,53,3,3,41
Z6430,4,Age 4-8,55,49,70,57,3,1,56
Z6439,4,Age 4-8,59,50,65,60,1,1,39
A2460_2015,5,Age 4-8,67,57,69,61,4,4,47
Z6360_2014,5,Age 4-8,54,46,60,54,3,3,51
Z6364-2014,5,Age 4-8,65,57,57,46,1,5,59
Z6365_2014,5,Age 4-8,51,43,56,53,2,3,56
Z6374-2014,5,Age 4-8,57,46,60,50,4,6,59
Z6396_2014,5,Age 4-8,58,48,62,56,4,5,40
Z6401-2015,5,Age 4-8,62,54,65,49,3,5,48
Z6407-2015,5,Age 4-8,70,58,74,62,1,2,56
Z6414,5,Age 4-8,47,42,59,51,3,2,51
Z6415,5,Age 4-8,66,51,68,60,3,3,53
A8515_2015,6,Age 4-8,38,27,40,42,1,3,57
Z1927_2014,6,Age 4-8,43,32,58,70,2,6,52
Z6351_2014,6,Age 4-8,56,46,58,55,3,4,55
Z6353,6,Age 4-8,51,40,57,52,0,2,47
Z6393-2015,6,Age 4-8,55,46,61,46,3,4,52
Z6395-2015,6,Age 4-8,66,54,68,53,4,5,52
Z6400-2015,6,Age 4-8,61,51,69,53,4,5,63
Y8472-2014,7,Age 4-8,61,50,66,56,7,7,55
Z1926_2015,7,Age 4-8,61,50,64,59,1,3,30
Z1948_2014,7,Age 4-8,61,51,67,56,3,5,54
Y8457_2014,8,Age 4-8,67,53,67,60,2,5,47
Y8476_2015,8,Age 4-8,68,55,70,59,4,6,51
Y8489-2015,8,Age 4-8,63,52,67,52,3,3,53
Y8455_2015,9,Age 9-14,68,58,74,61,4,4,42
Y8520-2014,9,Age 9-14,64,57,72,49,5,5,44
U5829_2014,10,Age 9-14,63,55,69,60,3,4,44
Y8545_2015,10,Age 9-14,53,46,57,52,6,6,
LZ8412_2014,11,Age 9-14,57,50,61,54,4,5,52
U5846_2014,11,Age 9-14,67,58,69,58,4,4,44
U5873-2014,11,Age 9-14,68,59,67,54,7,9,43
U5856_2014,12,Age 9-14,50,46,54,53,3,2,43
U5857_2014,12,Age 9-14,59,51,62,54,8,4,61
U5870-2015,12,Age 9-14,65,59,69,59,7,10,54
T7324_2014,14,Age 9-14,71,62,66,58,7,5,22
T7326_2014,14,Age 9-14,62,53,64,56,,,
T7358-2014,14,Age 9-14,62,56,66,57,5,7,50
