High,Low,Open,Close,Volume,Adj Close
89.5625,79.046875,81.5,89.375,16117600,89.375
91.5,81.75,85.375,81.9375,17487400,81.9375
75.125,68.0,70.5,69.75,38457400,69.75
72.6875,64.0,71.3125,65.5625,18752000,65.5625
70.5,66.1875,67.0,69.5625,10505400,69.5625
72.625,65.5625,72.5625,69.1875,14757900,69.1875
70.0,65.0,66.875,66.75,10532700,66.75
68.0,63.0,67.875,63.5625,10804500,63.5625
67.1875,63.125,64.9375,65.9375,10448100,65.9375
68.625,64.0,66.75,64.25,6853600,64.25
65.1875,63.0,63.4375,64.125,5384900,64.125
67.5,63.0,64.125,66.8125,8245500,66.8125
67.0,63.9375,66.9375,64.75,5978000,64.75
64.625,60.0,64.625,62.0625,11461900,62.0625
73.375,67.5,67.5625,70.125,29170200,70.125
71.25,66.0,70.0,69.25,9434100,69.25
70.0,64.75,68.625,64.8125,6558000,64.8125
67.75,64.625,65.1875,66.9375,6784000,66.9375
66.4375,60.0,65.0,61.6875,13777900,61.6875
64.75,58.4375,60.375,64.5625,10697900,64.5625
70.625,64.375,67.5,67.4375,13404600,67.4375
72.25,67.75,67.9375,69.4375,14025900,69.4375
85.9375,77.375,81.125,84.1875,43750000,84.1875
82.75,77.875,82.75,78.5625,11023000,78.5625
76.875,73.125,76.1875,75.0,10129000,75.0
84.0,73.4375,74.0,83.125,19472800,83.125
83.734375,80.015625,80.546875,80.25,9580400,80.25
79.875,75.5,78.5,76.1875,9979600,76.1875
79.125,75.5,77.125,76.1875,8309000,76.1875
75.75,73.5625,75.6875,74.4375,5169700,74.4375
76.1875,70.625,73.4375,73.8125,6424500,73.8125
73.4375,70.625,72.75,70.6875,4260200,70.6875
71.3125,68.0,71.25,69.0,6129600,69.0
69.0,63.875,68.4375,64.75,8726400,64.75
66.5,63.0625,64.9375,63.5625,5685800,63.5625
71.75,64.6875,64.875,70.4375,8441200,70.4375
71.375,65.625,70.5625,68.4375,5869300,68.4375
69.375,65.1875,67.4375,69.125,4870500,69.125
67.1875,64.125,66.5625,65.75,5057700,65.75
68.96875,65.875,66.0,68.875,7148500,68.875
68.5,65.0,67.625,65.875,5576700,65.875
65.0,62.1875,64.9375,62.5625,7980100,62.5625
64.75,62.0625,63.25,62.5,6059500,62.5
67.25,62.8125,62.875,63.9375,7665800,63.9375
65.8125,62.125,64.875,63.5,4178800,63.5
64.75,60.5625,63.25,63.625,5940700,63.625
69.0,62.1875,63.0,68.8125,8312500,68.8125
68.53125,65.0,67.25,66.875,3713500,66.875
66.625,63.0,64.0,65.3125,5634300,65.3125
66.9375,63.375,66.0625,65.625,4805300,65.625
65.125,62.0,64.75,63.75,6082700,63.75
66.375,60.0,62.25,66.25,9703100,66.25
66.375,64.5,66.0625,64.8125,5298500,64.8125
64.5,62.375,63.5,64.1875,5813500,64.1875
73.0,62.25,65.125,72.375,17082900,72.375
74.0,69.25,70.875,70.6875,11566400,70.6875
70.9375,67.5,69.5,67.6875,5442100,67.6875
75.25,71.3125,74.625,72.6875,9746000,72.6875
